lottery_name,number,date
cash-dia,872,01 Agosto 2016
cash-dia,512,31 Julio 2016
cash-dia,206,30 Julio 2016
cash-dia,629,29 Julio 2016
cash-dia,139,28 Julio 2016
cash-dia,446,27 Julio 2016
cash-dia,49,26 Julio 2016
cash-dia,310,25 Julio 2016
cash-dia,783,24 Julio 2016
cash-dia,656,23 Julio 2016
cash-dia,795,22 Julio 2016
cash-dia,624,21 Julio 2016
cash-dia,394,20 Julio 2016
cash-dia,781,19 Julio 2016
cash-dia,671,18 Julio 2016
cash-dia,445,17 Julio 2016
cash-dia,216,16 Julio 2016
cash-dia,932,15 Julio 2016
cash-dia,164,14 Julio 2016
cash-dia,115,13 Julio 2016
cash-dia,540,12 Julio 2016
cash-dia,115,11 Julio 2016
cash-dia,132,10 Julio 2016
cash-dia,43,09 Julio 2016
cash-dia,827,08 Julio 2016
cash-dia,741,07 Julio 2016
cash-dia,114,06 Julio 2016
cash-dia,21,05 Julio 2016
cash-dia,439,04 Julio 2016
cash-dia,472,03 Julio 2016
cash-dia,441,02 Julio 2016
cash-dia,774,01 Julio 2016
cash-dia,212,30 Junio 2016
cash-dia,686,29 Junio 2016
cash-dia,397,28 Junio 2016
cash-dia,103,27 Junio 2016
cash-dia,660,26 Junio 2016
cash-dia,447,25 Junio 2016
cash-dia,771,24 Junio 2016
cash-dia,253,23 Junio 2016
cash-dia,60,22 Junio 2016
cash-dia,890,21 Junio 2016
cash-dia,760,20 Junio 2016
cash-dia,545,19 Junio 2016
cash-dia,931,18 Junio 2016
cash-dia,348,17 Junio 2016
cash-dia,646,16 Junio 2016
cash-dia,228,15 Junio 2016
cash-dia,155,14 Junio 2016
cash-dia,618,13 Junio 2016
